Sessions,Latency (ms)
1,1639
2,1496
3,939
4,761
5,1450
6,905
7,1610
8,1065
9,1214
10,793
11,1610
12,600
13,665
14,992
15,1030
16,1588
17,1000
18,1030
19,1100
20,560
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Sessions,Latency (ms)
1,637
2,725
3,1602
4,970
5,1051
6,1288
7,1014
8,1426
9,1888
10,924
11,1469
12,791
13,2398
14,1551
15,1652
16,868
17,1397
18,1561
19,1675
20,1581
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Sessions,Latency (ms)
1,1424
2,1003
3,1509
4,1010
5,1190
6,1480
7,970
8,930
9,900
10,964
11,820
12,960
13,1540
14,859
15,970
16,840
17,870
18,950
19,880
20,770
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Sessions,Latency (ms)
1,1496
2,930
3,1190
4,1050
5,980
6,930
7,1220
8,1050
9,1270
10,1180
11,890
12,1256
13,1342
14,1003
15,960
16,1040
17,1390
18,1198
19,1050
20,1234
,
,
,
,
,
,
,
,
,
,
,
,
Sessions,Latency (ms)
1,1030
2,868
3,956
4,1095
5,934
6,667
7,1260
8,1123
9,846
10,1301
11,975
12,1231
13,1511
14,946
15,1138
16,1346
17,994
18,1184
19,1257
20,1293
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Sessions,Latency (ms)
1,950
2,900
3,1570
4,990
5,910
6,920
7,960
8,1070
9,880
10,850
11,2390
12,1640
13,920
14,970
15,974
16,810
17,1030
18,1090
19,880
20,970
