,,,,,,,,,,,,,,,,,,,,,,
,WebXR ,Model 1,sony,,,,,,,,,,,,,,,,,,,avg
,,1.521834789,3.916148559,10.51203855,10.25155824,21.26656512,20.51646983,9.080812481,29.04847391,11.03185146,13.75869489,5.757548714,11.23609886,17.17951988,7.772907336,5.76860737,7.233337349,11.33149084,9.321697454,12.16614962,10.15542405,11.44
,,12.26180664,2.626373921,6.589179033,9.257552803,5.109851718,12.14699884,6.342210602,8.810336073,6.045592812,8.80594806,17.03417264,25.9794236,16.51001441,18.44096068,26.39357585,6.328486644,11.29107001,20.78605704,13.43580757,9.063805083,12.16
,,7.345352195,32.03645924,10.15542405,6.370601335,22.55912094,11.2360418,7.09977295,10.06809101,8.972303021,7.896967565,9.254789667,13.56941349,18.31157,43.34729453,11.01901733,7.646122396,9.446138068,21.86227856,10.21300421,7.531445162,13.79
,,18.63893335,6.958306156,9.063805083,14.57140872,23.26800562,12.68672914,8.626133579,22.29205428,4.696702726,6.914338612,14.37121135,8.528412301,24.47675924,16.34889436,8.691941165,5.42086942,14.54034374,8.194588018,12.10224686,9.249908549,12.48
,,18.29275907,14.69079723,7.531445162,8.258574726,29.63018845,13.33702989,8.26859039,8.808385289,6.013871719,9.535615972,11.41443803,4.676875157,16.84030926,16.9761522,8.707608831,5.128725828,14.21758432,18.61113461,9.360157443,7.973726394,15.9
,,17.01141433,7.836781527,9.249908549,5.608368353,8.269868423,9.469245583,8.426032813,31.09342467,7.967653239,9.000125621,10.90514647,5.230993573,22.29347345,14.3673314,19.38501554,16.39973396,15.25147347,4.571559577,15.12052228,6.601980175,12.2
,,14.48651122,8.030499437,7.973726394,5.491491427,7.632411442,8.128832795,9.924802302,10.67502714,15.63244495,11.21376813,9.533378081,8.8152874,16.82955309,13.78298738,10.58391151,15.30595218,16.03283809,13.92395987,15.83657531,8.008216519,11.39
,,14.60412082,7.930883098,6.601980175,5.948896254,4.37837301,8.114676272,10.61351737,10.06774205,21.18729186,12.5724461,12.12153545,23.50660836,18.55385101,11.83641213,17.91008961,13.94439321,20.86118241,17.83112666,19.07153389,10.70648922,13.41
,,12.55046265,11.09095562,8.008216519,5.216062853,6.374267365,13.55293424,8.022661133,11.95700847,42.50622557,9.593563842,9.264972494,12.35209651,15.47836063,11.23414783,12.21752641,12.67939189,15.8123198,12.20630117,15.96421118,9.618270691,12.78
,,12.51548119,10.18798592,10.70648922,5.721421762,5.723050134,9.993742995,10.41741298,15.05946568,15.77682475,6.977363238,9.304404552,12.78535959,15.5281397,12.61305389,14.5580344,11.64636516,11.24469218,11.55035597,12.76825302,10.36046093,11.27
,,9.511917404,16.06265202,9.618270691,5.708499644,7.659078696,10.68317642,11.60018041,10.06290979,12.91233723,6.954835494,7.989375223,11.46132464,14.60916314,13.21017696,10.21512939,14.13371957,10.11685523,29.80347399,12.56313468,7.712003011,11.62
,,13.69867434,16.351777,10.36046093,6.339967756,9.62023793,10.45460845,16.35743391,13.32107377,11.02915273,7.689781929,8.08140827,7.600038807,17.87664631,11.80446745,10.75015151,12.04138186,14.03563029,16.66798436,11.5258654,8.400937308,11.7
,,11.32372612,9.206173176,7.712003011,5.541219488,7.642117247,9.147452427,7.441472384,8.817991366,8.981740939,12.89921183,10.78157064,6.603054424,20.81134998,12.37719296,8.943616199,10.32751322,8.738032583,9.366912066,10.54157409,9.886363866,10.9
,,15.18115919,9.185265716,8.400937308,12.68094025,11.18169729,11.7316451,7.465505332,10.07252907,12.22474078,9.681286061,9.233235134,8.608397155,16.835933,16.61602178,9.76336791,10.81837976,9.491892542,40.357947,10.21733689,7.164132107,12.32
,,13.27935165,6.774595194,9.886363866,4.462423859,7.258758672,11.02417282,7.321010503,10.74785955,17.13895955,5.707087482,8.772813146,16.52393209,22.76157013,10.08990153,8.289457105,10.19227192,12.00479047,24.84948292,12.56736688,9.593311932,11.46
,,11.05037934,13.80666797,5.164132107,11.26800812,8.476651108,9.400231223,9.561671082,12.58195938,12.44208783,10.11832571,8.774138843,37.42887679,19.1923578,10.49191434,9.610768345,9.55568828,11.3195756,26.86649822,10.85199171,9.635313099,18.9
,,9.984168942,14.98214356,9.593311932,14.01561079,10.94400366,8.851606398,10.41033209,10.89622952,11.69662418,12.12843357,8.341428198,13.89375732,21.78960267,11.69859334,10.63378518,12.60594601,13.58682616,11.55497072,15.23104853,7.772018604,12
,,13.34969892,8.555873792,9.635313099,14.39452626,10.09763656,10.97626072,7.638551135,16.28194459,27.03694953,8.795111323,7.40483479,8.104341014,15.04608798,11.02098175,13.66390843,9.301479592,17.05602329,5.487657238,17.725586,8.685064827,12.01
,,7.988880894,19.81745902,7.772018604,20.66315181,9.526585537,9.021414745,8.878268115,10.06886828,11.85342814,9.066194766,9.112613093,10.35722607,17.82333393,9.243757253,14.00117226,9.791877633,11.31746102,12.32050387,17.54497349,7.398591699,11.67
,,10.65192694,7.906126746,8.685064827,14.59056421,8.673167759,8.726001959,10.32129476,11.00682809,9.504151682,5.675757807,15.0242547,10.07826649,24.07916227,8.551389353,14.57057524,9.46884358,10.71690747,9.71840363,16.77957175,8.399463369,12.92
,,21.50175655,10.94635619,7.398591699,18.06564197,7.91284896,10.20597894,8.628399524,10.09774778,11.90921434,6.341595595,9.765056448,9.942845572,29.84434692,15.03417871,25.34762972,12.12236616,14.34745254,11.76480581,14.03603155,12.60594601,13.39
,,10.51864171,14.57919042,8.399463369,13.72130458,13.70169927,9.756819605,11.0515895,10.0367342,11.27694669,8.221379491,9.153842718,10.56763552,19.76375423,12.10698681,15.18075188,10.19277984,13.40644428,17.2247585,14.76275303,9.301479592,12.14
,,17.58388938,11.18104508,7.17492416,12.01054488,9.473604161,10.5060258,11.27990576,15.45173758,10.97817935,9.097311414,11.44567381,6.496385532,18.38487472,14.37670273,12.74529686,10.82940277,8.859792352,6.540961152,10.18809813,9.791877633,13.21
,,11.98180336,11.83682262,6.653516075,9.497260887,11.09722378,7.145600664,20.17489185,11.26651478,13.54797816,8.304625428,8.760328023,10.58272711,20.18084083,14.02918109,14.16294028,11.33601488,11.93885373,7.558460517,12.70305263,9.46884358,11.61
