Sessions,Latency (ms)
1,1757
2,1416
3,1529
4,1427
5,1624
6,1363
7,1245
8,1111
9,2581
10,3040
11,1173.6
12,2540.89
13,1102.95
14,118.75
15,1102.99
16,1943.76
17,1279.08
18,1185.49
19,3802.32
20,1465.65
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Sessions,Latency (ms)
1,1423.5
2,1829.66
3,1480.82
4,1640.09
5,1545.12
6,989.2
7,1293.41
8,1522.02
9,1601.1
10,1800.19
11,1242.38
12,1426.19
13,1243.55
14,1280.3
15,1501.2
16,1434.76
17,1670.345
18,1165.49
19,1655.32
20,1236.36
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Sessions,Latency (ms)
1,1060
2,1141
3,1150
4,1035
5,1152
6,1252
7,1400
8,1124
9,2093
10,890
11,1364
12,993
13,1585
14,1190
15,1383
16,1679
17,2143
18,2128
19,2080
20,1591
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Sessions,Latency (ms)
1,1721
2,1802
3,1127
4,1081
5,1029
6,927
7,1887
8,949
9,1027
10,783
11,1011
12,2152
13,772
14,1566
15,1367
16,1744
17,1016
18,1906
19,955
20,1364
,
,
,
,
,
,
,
,
,
,
,
,
Sessions,Latency (ms)
1,1133
2,962
3,967
4,786
5,1650
6,1591
7,1038
8,785
9,879
10,1793
11,2311
12,963
13,1473
14,1179
15,1054
16,1195
17,1087
18,1769
19,1000
20,1645
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Sessions,Latency (ms)
1,968
2,1675
3,569
4,672
5,778
6,1623
7,887
8,1604
9,751
10,1956
11,975
12,820
13,1258
14,1336
15,900
16,764
17,1116
18,1503
19,924
20,780
