,,,,
ar cored model 3,onelpus ,,,
sno,sent ,recived,Avg,
1,7.87,8.82,950,
2,15.69,16.59,900,
3,6.73,8.3,1570,
4,30.47,31.44,970,
5,13.19,14.18,990,
6,4.04,4.95,910,
7,17.96,18.88,920,
8,18.91,19.87,960,
9,9.13,10.2,1070,
10,17.36,18.24,880,
11,35.15,36,850,
12,5.24,7.63,2390,
13,3.51,5.15,1640,
14,14.53,15.45,920,
15,1.11,2.08,970,
16,10.42,11.39,970,
17,16.29,17.1,810,
18,2.57,3.6,1030,
19,12.63,13.72,1090,
20,7.28,8.16,880,
,,AVG,1083,
,,,,
,,,,
sony ,model 3 ,web,,
Sessions,Avg FPS,max_fps,,
1,48.69,75.69,,
2,98.37,31.99,,
3,77.93,47.64,,
4,97.81,28.081,,
5,57.1555,47.08,,
6,68.32,36.08,,
7,109.12,39.444,,
8,66.28,26,,
9,74.45,28.76,,
10,89.06152229,,,
11,110.56,,,
12,68.59,,,
13,59.603562,,,
14,95.63,,,
15,79.37,,,
16,86.93,,,
17,59.93,,,
18,83.23,,,
19,75,,,
20,98.8,,,
Avg,80,,,
,,,,
,,,,
,,,,
sony ,Arcore,model 3,,
sno,sent,recived,Latency,
1,0.858,1.888,1030,
2,36.522,37.522,868,
3,4.27,5.708,956,
4,3.218,4.313,1095,
5,16.072,17.103,934,
6,10.962,12.422,1260,
7,25.82,27.343,1123,
8,8.313,9.313,846,
9,5.477,6.778,1301,
10,13.862,14.837,975,
11,33.606,35.137,1231,
12,12.535,14.227,1511,
13,13.234,15.223,946,
14,43.92,46.858,1138,
15,24.241,27.187,1346,
16,47.978,48.972,994,
17,24.795,25.979,1184,
18,11.818,14.785,1257,
19,3.285,4.778,1293,
20,5.456,6.123,667,
21,,Avg,1097,
22,,,,
23,,,,
,,upload,download,
,,240 mbps,120 mbps,
,,,,
model3 sony,webxr,Sony,Model 3,
sno,sent,transit,recived,Latency in ms
1,6.11,299.87,827.06,1133
2,0.32,312.46,650,962
3,6.27,285.89,675,967
4,5.35,284.1,497,786
5,0.41,327.2,1323,1650
6,0.43,285.01,1310,1591
7,1.62,311.12,726,1038
8,0.66,298.98,486,785
9,0.44,289.88,589,879
10,3.55,309.56,1480,1793
11,13.21,322.39,980,2311
12,0.61,282.86,680,963
13,0.48,302.81,1170,1473
14,0.33,313.07,866,1179
15,0.37,297.79,756,1054
16,0.33,299.61,896,1195
17,0.65,820.93,986,1087
18,2.04,809.96,957,1769
19,3.13,311.09,686,1000
20,0.35,290.76,1354,1645
,,,Avg,1263
,,,,
,,,,
arcore ,sony ,model3,fps,
sno,avgfps,,,
1,46.12962101,,,
2,24.92621964,,,
3,61.63106363,,,
4,66.33502691,,,
5,65.20051146,,,
6,28.71525013,,,
7,30.22360085,,,
8,30.48613744,,,
9,46.73104429,,,
10,34.11248989,,,
11,59.58046061,,,
12,33.11670702,,,
13,29.56453247,,,
14,23.06446631,,,
15,34.45050463,,,
16,30.79213064,,,
17,68.70081065,,,
18,62.56727938,,,
19,31.87613495,,,
20,32.99810013,,,
Avg,42,,,
,,,,
,,,,
ARCore ,OnePlus,Model3,,
Session,Avg FPS,,,
1,32.99810013,,,
2,48.44491252,,,
3,76.36027818,,,
4,39.50574832,,,
5,81.64531642,,,
6,50.0938709,,,
7,45.24245499,,,
8,49.21304747,,,
9,47.83005501,,,
10,46.12097467,,,
11,39.09392724,,,
12,66.89427532,,,
13,47.45673654,,,
14,29.83521147,,,
15,46.46635023,,,
16,63.88329062,,,
17,36.03480631,,,
18,67.53880425,,,
19,38.02740445,,,
20,51.52427084,,,
Avg,50,,,
,,,,
AVG FPS ,oneplus ,model 3,webxr,
Sessions,Avg FPS,,,
1,58.43,,,
2,118.04,,,
3,93.51,,,
4,47.37,,,
5,68.58,,,
6,82.18,,,
7,46.04,,,
8,79.55,,,
9,79.34,,,
10,106.87,,,
11,132.67,,,
12,82.31,,,
13,71.52,,,
14,104.76,,,
15,95.24,,,
16,104.32,,,
17,71.92,,,
18,99.88,,,
19,90,,,
20,108.56,,,
,87.0545,,,
,,,,
model 3 ,oneplus,webxr,,
sno,sent,transit,recived,Latency in ms
1,5.19,255,708.01,968
2,0.27,265.59,1410,1675
3,5.33,243,321,569
4,4.55,242.49,425,672
5,0.35,278.12,500,778
6,0.37,242.76,1380,1623
7,1.38,264.45,622,887
8,0.56,254.23,1350,1604
9,0.37,246.9,504,751
10,3.01,263.12,1690,1956
11,11.23,274.03,690,975
12,0.52,240.43,580,820
13,0.41,257.89,1000,1258
14,0.28,266.16,1070,1336
15,0.31,253.12,647,900
16,0.28,255.67,509,764
17,0.55,699.79,416,1116
18,1.74,689.56,812,1503
19,2.66,264.44,657,924
20,0.3,247.15,533,780
,,,Avg,1092
