Frame Rate metrix,,,,,,,,,,,
oneplus model medium,,Arcore,,,,,,,,,
sno,uid,total_frames,missed_frames,missed_app_frames,missed_sf_frames,frame_dur_max,frame_dur_avg,,,trace file,
1,10513,229,11,10,1,13.365298,48.79570254,53.21687037,,https://firebasestorage.googleapis.com/v0/b/langversation-333d3.appspot.com/o/Trace%20files%2FOnePlus%20ar%20core%20m%2Ftrace-holi-TP1A.220905.001-2023-05-12-20-18-33.ctrace?alt=media&token=1236b124-2c7b-414a-ba56-8f9f18c75ec1,
2,10450,589,13,11,3,10.31139888,67.11673809,39.67190062,,https://firebasestorage.googleapis.com/v0/b/langversation-333d3.appspot.com/o/Trace%20files%2FOnePlus%20ar%20core%20m%2Ftrace_2.perfetto_trace.gz?alt=media&token=a48a89d4-4943-4305-b687-16150a59c803,
3,10450,131,13,7,9,7.175568973,26.11990007,61.39272514,,https://firebasestorage.googleapis.com/v0/b/langversation-333d3.appspot.com/o/Trace%20files%2FOnePlus%20ar%20core%20m%2Ftrace_3.perfetto_trace.gz?alt=media&token=52aa3590-1c77-4c2a-8246-e655ee03942a,
4,10450,511,14,14,1,11.49546413,35.80485922,29.53248795,,,
5,10450,511,14,14,1,11.49546413,35.80485922,46.80251098,,1,53.21687037
6,10450,229,35,32,6,9.106552409,48.04507012,28.00438291,,2,39.67190062
7,10450,229,35,32,6,9.106552409,48.04507012,65.71732463,,3,61.39272514
8,10450,235,23,18,8,13.77611095,49.27810331,58.43961673,,4,29.53248795
9,10450,254,11,11,0,12.01062181,50.66547326,41.85092314,,5,46.80251098
10,10450,318,10,9,1,10.66477658,63.95200223,34.06739053,,6,28.00438291
11,10450,318,10,9,1,10.66477658,63.95200223,55.88112025,,7,65.71732463
12,10450,186,11,10,1,10.23860747,44.95113968,59.34706029,,8,58.43961673
13,10450,186,11,10,1,10.23860747,44.95113968,45.21004081,,9,41.85092314
14,10450,186,11,10,1,10.23860747,44.95113968,52.81766329,,10,34.06739053
15,10450,186,11,10,1,10.23860747,44.95113968,31.69539276,,11,55.88112025
16,10450,527,18,15,5,7.113250372,30.19177179,60.61801547,,12,59.34706029
17,10450,527,18,15,5,7.113250372,30.19177179,27.84502173,,13,45.21004081
18,10450,527,18,15,5,7.113250372,30.19177179,37.78920498,,14,52.81766329
19,10450,527,18,15,5,7.113250372,30.19177179,66.49660445,,15,31.69539276
20,10450,527,18,15,5,7.113250372,30.19177179,51.09237822,,16,60.61801547
,,,,,,,,,,17,27.84502173
,,,,,,,,,,18,37.78920498
,,,,,,,,,,19,66.49660445
,,,,,,,,,,20,51.09237822
sony ,model _ high,,,,,,,,,AVG,47.37
sno,,,,,,,,,,,
1,10450,527,18,15,5,7.113250372,30.19177179,,,,
2,10450,527,18,15,5,7.113250372,30.19177179,,,,
