Model,Decimate Scale,Vertices,,Edges,Faces,Triangles,,,
M1.1,0.75,"59,866",,"159,069","99,194","99,194",,,
M1.2,0.5,"44,322",,"113,536","69,205","69,205",,,
M1.3,0.25,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Sessions,Time,,,,,,,,
1,17:24,,,,,,,,
2,17:26,,,,,,,,
3,17.29,,,,,,,,
4,17:31,,,,,,,,
5,17:33,,,,,,,,
6,17:35,,,,,,,,
7,17:38,,,,,https://wormhole.app/R7oNl#yS9nJz6mmef9XbE6nqD-sw,,,
8,17:40,,,,,,,,
9,17:42,,,,,,,,
10,17:45,,,,,,,,
11,17:46,,,,,,,,
12,17:48,,,,,,,,
13,17:51,,,,,,,,
14,17:53,,,,,,,,
15,17:55,,,,,,,,
16,17:57,,,,,,,,
17,17:59,,,,,,,,
18,18:02,,,,,,,,
19,18:04,,,,,,,,
20,18:08,,,,,,,,
,,,,,,,,,
,,,,,,,,,
OnePlus Network average transfer size & Latency,,,Arcore model 1,,,,,,
Session ,Sent MB,Recieved MB,,,,,,,
1,0.1,9.9,,,,,,,
2,0.1,10,,,,,,,
3,,6.4,,,,,,,
4,,7.9,,,,,,,
5,,5.3,,,,,,,
6,,10.1,,,,,,,
7,,6.1,,,,,,,
8,,7.1,,,,,,,
9,,9.4,,,,,,,
10,,10,,,,,,,
11,,10,,,,,,,
12,,8.1,,,,,,,
13,,5.3,,,,,,,
14,,7.8,,,,,,,
15,,8,,,,,,,
16,,8.6,,,,,,,
17,,9.9,,,,,,,
18,,9.7,,,,,,,
19,,9.7,,,,,,,
20,,5.3,,,,,,,
1,33.638,34.275,,,,,,,
2,16.084,16.809,,,,,,,
3,4.131,5.733,,,,,,,`ok ra 
4,14.183,15.153,,upload speed,download speed,,,,
5,14.677,15.728,,140mbps,210mbps,,,,
6,4.181,5.469,,,,,,,
7,7.684,8.698,,,,,,,
8,3.224,4.65,,,,,,,
9,6.195,8.083,,,,,,,
10,4.717,5.641,,,,,,,
